miRanda;target scan;ARL6IP6
ZEB2;CBX2;MTBP
SLTM;DLGAP2;WDFY3
FAM133B;CPOX;UBQLN4
NPM1;PABPC1L2B;GOLGA8B
DAZ4;GPR137C;ITGA5
FAM190A;TPM4;PEX3
ODZ1;IRS2;LASS6
ATP8B4;HOXB3;ZFYVE26
EIF2B1;FOXN2;C2orf65
C10orf137;LATS2;BECN1
LRRC7;MARCKS;TMEM183A
TRIM55;CHIC1;USP44
ACSL4;KDSR;LOC340094
CALM2;RASEF;KSR1
XPO1;YWHAG;SLC22A5
PLIN1;GABRA5;TSPYL4
NECAB1;ADAM12;PNMA1
SUN1;GRK5;ZCCHC4
DONSON;KLHL23;CXCL11
PAM;CHD9;KIAA1467
FBXO31;GAS2;LOC100132352
AK3L1;PCGF3;GOLGA8A
TSPAN8;WDFY3;SORCS1
SLAIN1;PIEZO2;SCARA3
P4HA1;EOGT;PRKCB
AKAP9;MAP3K1;LOC100127974
RAB32;NEGR1;SPDYA
FRMD6;N4BP2;ZNF770
BRPF3;GUF1;LOC388692
HEATR5A;SNX27;DAPP1
C12orf39;TTC39A;IL21R
ARHGAP17;UST;PIP4K2B
FANCM;BCL6;PHC3
CBLB;PHF13;NAMPT
CECR2;ZBTB10;RASL12
TGFBI;GOT2;SYNE1
RAP1B;ZFP36L1;HELZ
ZNF800;NOVA1;C13orf23
KIAA1370;PUM2;ZNF507
SAMD5;ZIC2;SENP5
HLA-DPB1;COL4A3BP;IRAK1BP1
DCBLD1;SLC38A1;HAO1
MAP3K12;CNTN4;TNFAIP2
IQCB1;BDNF;ZC3H13
KCNT2;NREP;ZNF831
TTLL12;DGKB;RPL36A
MGEA5;EYA2;FAS
ZNF175;SMARCD2;HTT
ALKBH4;MYO9B;CLEC4D
C6orf201;ACSBG1;SCML2
CBS;FAM109A;SFXN1
SMNDC1;CEP44;SLTM
ABCC10;PLCG1;ALG10
SYNJ2;DDAH1;SNORD108
ELMOD2;ATP8B1;RMND5A
SMN2;PTBP3;ANKHD1
RNGTT;PPP3CB;TM4SF20
CD300LG;SNAPC3;DDX60
TMEFF2;DTNA;DGKZ
MACF1;PAX9;MPI
HIBCH;ELFN2;TUSC3
PDZRN3;FAF2;FOXRED1
GRXCR1;G3BP2;RMI1
DNMT3A;FOXO3;FAM18B
FPR3;BAZ1A;C14orf101
NUP62CL;ABL2;IL2RA
ANGPTL3;PELI1;PPPDE1
FAM110B;SNX29;S100PBP
GPR110;PHLDB2;CEP170
CLDN12;THBS2;RAB3GAP1
GPR98;BCL2;NAPG
KIAA1033;FOXA1;ATP11B
FRK;CABLES2;STOML1
PAN3;CDH13;ZNF860
DLX2;GREB1L;PIGA
GNRHR;ADAM10;NOV
FGD6;HIPK1;PTPN13
EIF5A2;ZSWIM6;FBXO11
USP22;KIAA1033;ABCA8
ATP11C;AIDA;PTPRK
RHEB;PDGFRB;ATRN
PCSK1;WASL;ESCO1
MTF1;COG5;CCDC50
LYPD6;STX16;ZNRF1
C3orf59;SATB1;CPNE8
COX7B2;MAU2;ZNF69
MAF;FOXP4;ANKRD20A3
YAF2;ARID1A;NUDT13
FAM131B;SETD9;TCTN1
IRF4;VWDE;TMEM22
SEC22A;IRF4;FAM160B1
EGLN2;SLC6A15;GCNT2
TBC1D10B;LARP1;MYH11
ABCA6;CDYL2;EDNRA
AKTIP;RASSF8;LEPROTL1
RAB5B;KIF3A;CYP4V2
AP1B1;ITGA9;EBF3
HERC2;AGO4;GRHL1
LGI1;NAV3;PTP4A1
UPK1B;MBD6;RER1
PIGM;SSBP3;DSG2
CMPK1;ROCK2;PRY
MYO3B;NCOA3;C6orf167
OPRM1;ATP2A2;HERC4
UCHL5;UBN1;BCL11B
ARID3B;BTAF1;MIER3
NOV;USP24;KIF1B
FBXL20;B4GALT5;ELL2
RIMBP2;UBE2O;DNMBP
UBXN4;STX6;ZMAT4
CCDC97;ADAM11;ZPBP2
TIA1;PAG1;RELL1
C17orf57;TRIM33;UBE2J1
PRKCH;PPP6C;FKSG83
MRPL22;IGF1R;LOC400696
HNF4G;FNDC3B;RPN2
CCDC117;FBXO34;LOC284889
CCT5;UBR7;CADPS
LDHA;TSPAN2;PGAM4
MICAL3;RP11-766F14.2;NHLH2
SR140;ONECUT3;SLC38A7
VIPR1;ELMSAN1;MMD
TLE4;LONRF3;TAF4B
PTPN13;BBX;TANK
PPP1R2P1;YY1;ASCC3
INTS2;PACRGL;ATRNL1
SNX9;SIDT2;UBE2D2
MTHFSD;MTF1;CHI3L1
TBC1D1;TIMP2;DACT1
KPNB1;MAPKBP1;DGKI
SNX13;NCS1;LRRC9
LOC153469;BACH1;FUBP3
FLJ30838;SH3KBP1;KIF16B
RAB4A;CAND1;TTC9
CC2D2A;ALPK3;C4orf34
BTBD1;BNIP3L;KLF8
CAMK2D;ADAMTS5;FAM181A
C4orf19;FAM53B;RALGPS2
NBR1;WNT7B;FYCO1
ARL8B;NOTCH1;NKX2-2
FBXO11;FAM126A;ZSCAN12
NRBF2;CACNA1D;EAF1
CEACAM1;TMEM110;DDIT4
AMN1;NR3C2;POU4F2
RRN3;GDNF;CPD
GDA;CELF1;ANKRD20A4
DYRK1A;CALU;WDR33
SIRT1;DMD;IKZF1
MICAL1;IRF2BP2;ADO
HTATSF1;CBX7;RAB15
HBS1L;CHD5;TOMM20
RAB4B;RP1-170O19.20;SYN2
DENND4C;HOXA9;KLHL29
DNMT3B;STYX;CNGB3
MERTK;PSD3;CEP135
SLC35B4;KMT2A;CECR6
MBOAT1;GPT2;NAA25
MAP3K15;FNIP2;CLRN1
TMEM165;HCN1;TPRX1
SAE1;ANGEL2;AVL9
STXBP5;ATP8B2;ZNF518A
PHF16;LPAR3;PGAM1
NDUFAF4;MARK3;IFT27
ZNF260;FYN;LRRC28
FBXW7;ABI2;GFPT2
ABCA8;ENAH;LOC121952
ZNF248;PDCD10;RNF185
PLXNA2;CORO2A;PDCL
CPEB4;ATXN1;JARID2
TMEM87A;SEMA6D;SAMHD1
DCAF5;NID1;TANC1
RUNX1;SSBP2;FAM18B2
ITM2B;NRG2;ANKRD20A2
DSP;ANKRD52;HOXD8
RPL10L;HIAT1;HLX
TMEM202;GATA6;NEUROD4
PTPRK;CLCN3;ZNF277
FAM81A;UNKL;C12orf76
FCGR2B;CACNB2;DOK5
TBL1X;ZNF507;PSEN2
NUP153;RNF34;RPA2
PIK3C2G;KMT2D;DCAF17
ITGA6;ABCB7;SNRNP48
ARHGAP28;CSNK2A1;BDKRB2
RHD;NFYA;CELSR3
HPS4;FAM216A;SH3YL1
L3MBTL;YBX1;STX16
RGS7;USP15;TBCEL
ARMC7;DOCK7;ZFP1
WNT16;TSC22D2;TRAF3IP2
DOCK3;G6PC3;ZNF800
NKTR;PGM1;IRF4
PAPOLG;KIAA1715;LGI1
PPFIA1;STK17B;TBC1D1
HEY2;PLAG1;CEACAM1
DENND4A;PHF16;PAPOLG
RPS6KB1;GIGYF1;CARS
CARS;SENP5;SPEN
ARID5B;ZSCAN29;CLIP4
LOC613266;TMEM87A;HOXA1
FAM13A;LIN7C;CPEB2
MED14;OXR1;EPDR1
SPEN;PPFIA2;C5orf39
ZBTB38;FLVCR1;SFRS7
FGF13;RASGEF1B;UBE2F
AGTR1;TFDP1;ETF1
GLI2;SOS1;LSM14B
RNF182;SKP2;KLHL20
RTN4;ITGA4;FKBP1A
MYH15;SIAH2;TMEM170A
ZBTB7C;CNOT6;IFNA21
MAT2A;CDK12;C14orf39
DGKD;CLSPN;ANKRD20B
FBXO25;NF1;SLC39A8
GBP3;TMEM56;ADPRH
MBNL1;CEP350;SRCIN1
ABCE1;SLC29A3;PARP15
CIB4;IL1RAPL2;RAB10
TIGD7;PGM3;ELAVL3
CELF5;NAGPA;LPPR4
FRZB;GRIA2;INCENP
CLIP4;Mar-06;LOC283914
MYD88;GDF2;FAM192A
FAM156A;TNXB;CAPN5
PCOLCE2;STX2;DSEL
FAM49B;VIP;SEMA6D
MCTP2;NDEL1;PER2
TREML4;CNKSR2;PPP1R3B
DMTF1;EPB41L5;PKNOX2
CHMP2B;SEC23IP;TP63
MYLK3;ATG5;LIN28A
SLC38A4;ELOVL5;EMCN
PSMG4;FNDC3A;RTKN2
BAG1;HNRNPA1;PCDH17
DEGS1;SCAMP1;NIPSNAP3B
ERP44;KIAA1522;OXR1
SLC35D3;C10orf11;STAT2
ATRN;LRRC17;EPC2
DZIP1L;RPRD1A;CLOCK
CNN3;NIPAL1;DLGAP4
CD1D;UBE2F;May-01
SYNPR;GCLC;PEG10
ZBTB49;LHX5;FAM169B
SSX2IP;SLC5A3;ENOX2
ST18;BTBD7;SAMD4A
RPS6KA4;YWHAZ;SEPSECS
KLHL24;FAM104A;PAPD4
KIRREL2;SETD3;C22orf40
PDS5B;GRB10;FIGN
RBM15B;ARL6IP6;SCLT1
LEPR;HOXB4;DLG5
PLEKHA5;HLF;MTMR1
PRPSAP2;C16orf87;FAM161A
CCNE2;IRS1;ELOVL5
UBE2J2;RNF44;CRLF3
MEST;SMAD2;DST
KCNJ12;RAP2B;HSFY1
ZNF37A;PDCL;CLTC
SEC61A2;SNX30;YTHDC1
TDG;RABGAP1L;CAPRIN2
STK38L;SERPINE1;FBXO34
UNC45B;TOR1B;BBS9
ACTR3;TET1;SLC30A2
KTN1;SMARCA5;MAMLD1
SNX16;ADAMTS9;PTGER3
BZRAP1;AGO3;HSFY2
RBMX;CTDSPL2;P704P
CNR1;FGD6;CD80
KIAA1328;HSPA5;PGP
C1orf103;AKIRIN1;MARCKSL1
AURKB;KPNA6;RCSD1
MDS2;GRM5;MAN1B1
JDP2;FA2H;PRUNE2
CCNA1;PARP8;ADAMTS6
PLA2G12A;DGKD;PART1
ZDHHC15;NAP1L5;HFE
ESCO1;GRHL1;LRRIQ1
CDC42BPA;YAF2;CPSF3L
NAGPA;EVI5;ADRA2A
DMXL1;COPS7B;FAM178A
YWHAE;GLCE;PTPLAD1
ANKRD26;ZFP36L2;SLC25A30
CCDC50;NEDD4L;HMGB2
NUPL2;RAB8A;ARHGAP36
TMEM220;IFFO2;ACP6
C10orf26;HECW1;RAG1
KCNG4;SUPT3H;MTHFD1L
HOXA1;Mar-08;RGPD3
CHCHD7;TMOD3;NUCKS1
EGR3;RALGPS1;ACTC1
FRMD4B;KCTD20;CEP120
PRICKLE1;FRK;CLCA2
GALC;SGSM1;ZNF71
TDRD6;FTO;ZBED4
PPP1R2;PIGV;PFKFB4
ABCD2;USP14;VPS33A
ZNF566;KIAA1211;SH3PXD2A
HPS3;DHX40;TRIM35
KCNIP4;CADM1;TACC1
ACTR1A;STX7;CHL1
TRAPPC10;H2AFY;HORMAD1
ELL;CCDC178;PVRL4
GCET2;HLX;Sep-08
TRPC4;ZDHHC21;RNASEH1
CDK17;CCDC148;EPB41
HOMEZ;ZNF521;IL6R
ZMIZ1;MAGI2;WDR47
NCRNA00119;JARID2;LMBR1L
UGP2;SPHKAP;GATM
LIFR;USP2;ADH4
PGM1;NFIA;CALML4
MYST3;STXBP1;CRB1
CPEB2;RANBP10;ARL6
CRH;EEA1;RAB32
ARHGEF2;MATR3;MAP3K12
EIF2AK3;TTC28;EIF5A2
ZNF804A;SAP30BP;RAB4A
PHACTR2;EBF3;TBL1X
DPPA3;ZCCHC14;RBM15B
CPSF6;CPEB2;OSGIN2
PHTF2;PRUNE2;KRT5
NFYB;CNGB3;GIMAP2
C14orf143;TRERF1;DOC2A
FAM73B;DRAXIN;LMBR1
C19orf62;SV2C;SATB2
IL26;ESPN;LOC554223
MINPP1;TACC1;MBL2
ELF1;SPTLC2;LOC642597
HLF;SIM1;ARID1A
ZFAND5;GADD45GIP1;LEFTY1
WDR52;INSIG2;LOC400622
GIGYF2;EPB41L4B;NT5C3
CALCR;GTDC1;NKAIN2
EPDR1;PON2;C17orf71
VCAN;SLC35A5;C22orf30
MPP7;CYB5B;LBR
ZNRF1;CLEC14A;GBP5
FAM13C;CERS5;TNKS
REPS1;ARL6IP5;RHEBL1
ACVR1;SPRYD7;CAMK4
CD200R1;CYB561;ANKRD30B
GRAMD3;MAP3K5;DHRS4L2
ROBO2;ELAVL4;C4orf42
TRPM7;ABI3BP;HDAC8
C12orf72;JAK1;SP4
AGBL4;MIA3;MNT
TIMM23;MBNL2;ARID4A
RRP1B;PDAP1;MAP4K4
NEK1;MEIS2;TRNT1
PNPLA8;SSR1;NKAIN1
ZFAND6;LRRC58;S1PR3
FBXL13;BIRC6;NRSN1
PTK7;TSPAN33;GZF1
KLRG1;SGCB;ZNF720
COX7B;LYN;CUL3
GPR108;WBP1L;RIOK3
PDE12;B3GALTL;RRM2B
MATR3;SOBP;CMTM4
Mar-05;PELI2;IL1A
C5orf39;PEAK1;TACR1
SLC30A5;MARK1;MKL2
BCLAF1;GMEB1;C12orf51
ARFGEF1;IFNAR2;HSD17B6
L3MBTL4;ESRRG;FLJ10357
PFKFB2;ATRNL1;KPNA3
HAUS6;USP49;C15orf2
SCYL3;AP1B1;FLJ42393
C12orf32;AP3S1;ADSSL1
SLC23A3;SIX4;UBE2D1
CPNE8;POU4F2;MYO16
ZNF84;ADAM22;ZAK
MCF2;GTF2H1;MEGF9
INTU;NPTXR;KILLIN
MAGEE1;NEFM;SLMAP
ZNF69;VAMP3;CD302
LOC400804;MAPK8;FGFR1
TXNRD3;MAF;ZSCAN22
PPP1R13L;UGT8;WDR36
SLCO1B3;INHBA;TES
TC2N;FRS2;KDM4B
BRAP;PRKAR1A;ARID3A
OSGIN2;SLC25A36;TMEM47
RERE;ELAVL3;CPSF2
ZNF587;PRKAA2;GPR126
SCN9A;KIF21B;FAM109A
HMGCR;TMEM135;PAFAH1B2
KRT5;RAB11A;ADAM18
URM1;EIF5A2;MAGI1
WBSCR22;NLK;RBAK
SFRS7;RBM15B;CUL5
SGK269;PPIL4;KCNK1
AP1S2;SLC35B4;PIRT
PXK;TMED2;POLR1D
IRS2;TRIM24;STAC
OSMR;TUSC3;WDR61
PCSK2;HIVEP1;STAMBPL1
LPAR3;NKAIN2;METTL3
SCGB2A2;RBM12;SETD1B
IFT80;UBE2D2;CHRM3
TIAF1;GRAMD2;ARIH1
LARP1B;KCNJ3;SPTLC3
PPAPDC2;SATB2;LOC100329135
DTWD1;PAPD5;CDK15
CNOT6;ASCC3;SNX1
COL6A3;DIO2;GRM5
LYSMD3;PITPNM3;ITGB1
ANKRD20A3;PLXNC1;SLC35C2
NPL;PTCHD1;C20orf72
GBP1;ZFYVE26;TNIP1
RARRES1;HHIPL1;Sep-03
RALYL;TTPA;OSBPL3
SMAP1;MZT1;DCTN4
NUDT13;CAMK2N2;ZFP3
SCARA5;GNAO1;CLDND1
AP3S1;PCDH20;ALG13
NPFFR2;DSC2;ZNF521
MSTN;SIRT1;SLC29A3
C19orf39;PTPN13;PDK1
FAM26D;RAB4B;CDK19
MID1IP1;BCLAF1;C18orf19
CBWD3;YES1;CPEB3
EMP1;NT5DC3;PAR-SN
TRIM38;PHIP;RSBN1
TIPIN;SETD1B;CBLB
KLF4;TNFRSF8;SR140
ADD1;REV3L;SIRT1
GALNT13;FAM168B;ITGA6
MYOM2;SLC30A5;HPS4
PRR20A;NUCKS1;JDP2
LOX;SLC30A10;PRICKLE1
DOCK8;PIAS1;MINPP1
SCARNA15;ZBTB34;HLF
MBNL2;KIAA0247;GSPT1
MFSD6;ANKRA2;RCHY1
PCMTD2;ADO;CCDC46
MAGI2;SMIM14;PICALM
EIF2AK4;BTBD10;MAML1
C16orf73;PNN;VOPP1
SCN8A;AVL9;RAVER2
KRTAP5-2;SLC16A14;ZMAT1
TCTN1;KIAA1147;SLC35D2
C1QTNF7;E2F3;LOC100128682
LYN;SON;LRRC8D
TMEM22;MTA1;ETV3
ROCK1;VAT1;SFRS18
C3orf14;ZNF275;AZIN1
KCNH5;FUBP3;DLGAP1
LRRTM3;DAG1;EIF2C3
PLEKHA7;KLF8;GPR180
USP24;Mar-03;CSNK1A1
ANKS4B;CTTNBP2NL;SHOC2
WAC;CHST12;XPR1
PPFIBP2;DLGAP1;RAPGEF6
UBE2F;AK4;NECAP1
C7orf46;SLC41A2;LPCAT2
GSPT1;PSMD7;IL15
RCOR3;GOLGA4;AMOTL2
C1orf173;IL1A;BAZ2B
EIF4G3;FAM126B;AR
TOM1L1;YTHDF3;TCTN3
ZNF439;JAM2;MIS12
ETF1;ENOX2;RNF146
STXBP1;BEND3;PDE7A
MFHAS1;MPPED1;CELF4
LRRC31;GNG10;DOLPP1
RCHY1;DNAJC25-GNG10;HSPA5
MTMR2;POGLUT1;TBC1D20
FAM26E;MMD;MIB1
DAGLA;PVRL3;TMEM86A
ARL1;FRMD6;CAMTA1
RFX8;RCBTB1;C10orf18
SLC12A6;KCNJ15;TAOK1
C1RL;RALGDS;PCDH19
C12orf29;WWP1;RMST
PNRC2;ME1;PNN
SOX13;FAM46C;ADC
RPGRIP1L;RNF217;MLXIP
SURF4;RAB10;PDZD2
DNAJC21;PSME3;FAM126B
SHANK3;RAPH1;LRRC58
UGT2B10;RASGRF2;MRO
ANKRD13A;KLF14;LGI3
KIAA1024;ZDHHC20;ST8SIA4
LATS1;KIAA0101;TMEM209
NAP1L2;FKBP3;SUV39H2
SLC9A2;SEC23A;RAP2B
PHLDB2;ROR1;C6orf115
GIMAP2;EPB41L3;PPIL4
SAPS3;NEUROD6;FAM35B
TMEM66;FBXO28;GFM1
PITPNM3;SGMS2;CISD2
C10orf119;EBF2;PRDM1
CSMD1;TADA2B;C8orf39
VNN3;ADRA2B;ZNF706
SOX6;TRIM27;C19orf12
KIAA1012;UBE2D3;GLDC
IL1RAPL2;NSG1;KL
BCOR;UBE2G1;PUS10
CBWD5;HERC2;ARL15
MOBP;TMEM168;YOD1
B3GNT2;NLGN1;ERAP1
KCNJ6;STAG2;MAN1A2
HDAC5;ZMYND8;SOX9
WBP4;SLC4A7;ENC1
FLJ43390;MED12L;C9orf153
ZNF567;PPP1R14C;DPY19L4
CHCHD3;IKZF2;ARL5B
C19orf2;PXK;GRM6
ESPN;GPD1L;FAM35B2
FLVCR1;ERRFI1;GLRB
GALNT1;WDR1;VAT1L
ALG6;TRAM2;FMR1NB
NAA30;DPYSL2;GALNTL1
FAM76B;COL9A3;TOPBP1
POLE3;CBFB;ZFHX3
ZDHHC14;NT5E;CTHRC1
MTF2;LDLR;MMP13
COL5A2;RNF213;TMEM128
PIK3CD;SFMBT1;DKFZP434L187
CCDC46;TRIM71;ATXN7L1
DPY19L3;ZNF200;ACAT1
MYBL2;ATG12;C8orf74
MTPAP;NRBP1;RPRD2
FAM91A1;JAKMIP3;LOC100134015
CENPK;GPR161;TASP1
HCG22;CERS6;CNOT2
GTF2IRD2B;USP44;UBAC1
NCOA2;PROSER1;SPOCK3
TIAM2;FAM175B;PTPN2
COG6;DPY19L3;CDCA7
PKD1L1;RSF1;EPHA5
HS3ST5;PLCXD3;EDN1
MSR1;TRAF3;NFIB
CSDE1;MTF2;IP6K3
EIF3H;SDC2;PCDH20
ORC2L;GALNT2;DOCK4
SYNCRIP;C10orf118;JAKMIP2
KIAA0317;SUCLG2;NR4A2
SLAMF1;PIGA;LIPG
LYPLAL1;RGL1;KIAA1370
TMEM56;AHNAK;FBXL20
TNFRSF10B;ADRB1;ARID5B
FAM160B1;TECPR1;GPR108
LMO7;PMEPA1;SCARA5
EIF1AY;NSD1;MBNL2
KERA;ARF4;LRRTM3
AFAP1L2;GLDC;LOC340074
NRBP1;ZNF770;PRG4
KIF1B;SEC62;LIN7C
STK17B;NRP1;DUSP11
LOC340074;TPRG1;CDK12
MIPOL1;PTPN9;ZNF528
GCNT2;ASCC1;BMI1
GPR124;PDSS2;GLCCI1
FAM115C;LYSMD3;EPHB2
CHEK1;ARL15;Sep-06
ADAM9;POC1B;ABI3BP
FAM96A;FAM129A;CHD6
CALB2;GCH1;CCL19
SFRS12IP1;NFYB;ETNK2
C20orf108;FBXL17;ZNF345
DENND2C;KIF16B;C14orf129
DDX20;SOGA3;ADCYAP1
PRDXDD1P;ZBTB20;IFNAR2
MAPKSP1;TVP23B;PPP3R2
ERLIN1;CAMKK2;ERG
TSPAN33;C16orf52;AHR
GSK3B;AMOT;SIGMAR1
NAA16;ARIH1;SNRPN
C9orf93;URM1;BTBD7
LYSMD2;POP1;ANKRD43
SLC9A8;PHF6;DDHD2
ODZ2;BRAP;C9orf72
PAPOLA;DHX36;ZNF510
NT5E;PIGX;LRRC36
METT11D1;CAPN7;C3orf38
ZNF826;MAT2A;SEC23A
THSD4;STT3B;MED27
RNF144B;PSMD9;PPTC7
TMEM108;PTPRK;CLEC2D
RASSF8;ING5;CTXN2
CCDC144NL;UBE2K;COL9A3
FPGT;AC002451.1;CCDC93
ZNF530;TASP1;TRAK1
C1orf144;BEND7;YLPM1
AWAT2;DGKE;C10orf112
CYTH1;RNF7;ZNF233
PFN2;SYPL1;ZBTB44
USP8;DRP2;PIP5K1B
PICALM;DNAH17;SH3RF1
PDZRN4;CCDC117;PPM1E
MYH11;DDIT4;FLJ21408
GTF2H1;BZW1;SAP30
AGAP1;GPRIN3;COL12A1
LSM14B;PCDH19;RFTN2
CREM;PAQR5;FAM165B
LMOD3;KIAA0226L;UGT8
CTH;SNAPIN;CAPN7
IL1RAP;HNRNPC;CDC37L1
ACBD5;SORCS3;SORBS1
RICH2;ZBTB6;LOC100128908
TUBGCP5;CAPRIN1;EIF4A2
KTELC1;CELF2;LCP1
PRPF40A;TBL1XR1;LRRC17
LOC729444;RWDD4;TBC1D8B
TXNDC15;PDE3A;NUCB2
STAM;PHKA2;SIK3
TBCCD1;GJC2;CSMD3
REV3L;CALCOCO1;C19orf10
MREG;PPP2R4;STX6
PRG4;SOX9;GRB10
NR5A2;CACHD1;LCT
METTL5;CREB1;KALRN
ZCCHC6;ZG16;DLD
LOC338651;SEC24A;LOC283392
MAML1;RASL12;NBPF10
TASP1;KIAA1244;TRO
ZBTB10;MIS12;ZNF594
VOPP1;ATP8A1;ERI2
C21orf49;PAAF1;UBN1
C1orf163;FAM72D;LOC100289314
SDK2;FAM72B;NAIP
MST1P9;MAN1B1;PLCXD2
KBTBD3;IFNLR1;PCMTD1
DCAF4L2;HPCAL1;CCDC120
ADAM21;SERPINF2;HACE1
GATS;JMY;FAM135A
SALL4;DNAJC25;ABCG5
SLC26A11;PPP2R1B;C17orf85
LYRM4;FGF20;NLK
LOC339240;PPP2R5E;KIAA1549
RFX2;KCTD8;NEDD4L
CELF3;TRDN;RSF1
FAM151B;UHRF1BP1;LPCAT1
RUNDC3B;EVI5L;ABHD5
RAPGEF2;RASGRP3;SNX10
RBBP6;PDS5B;ELOVL7
CSK;FRMPD4;AP3D1
UBR5;YTHDF2;ANKRD10
RAVER2;DACH2;NIF3L1
SCHIP1;IGSF3;ZNF382
SEL1L3;SH3GLB1;CLK4
CNOT7;TVP23C;LOC647121
KIAA0564;Sep-08;SPHKAP
ACTL6A;MECP2;RAD51C
SMARCE1;DEXI;PATL2
EDNRA;STX17;PPARGC1B
ASPH;OTOR;ZNF280B
LIN7C;FYTTD1;ARHGEF10
MAPKAP1;STOML1;TMED10
SLC25A24;MFHAS1;ITSN1
TCF20;CHIC2;PTEN
LYST;P4HA3;COMMD3
DIP2C;LEPR;PHF6
SEC23IP;MEX3D;LARGE
FGF21;PITPNC1;RBM43
SFRS2;HERC3;SACS
SOX12;LRRC8C;TPP2
RNF144A;METAP2;YTHDF3
DOC2A;PICALM;FAM190A
LEPROTL1;DCP1A;XPO1
YME1L1;TMEM133;MAF
IL33;ANKS4B;FAM131B
WLS;GATM;PIGM
CYP4V2;BRD1;SLC35B4
MTRR;SFXN1;STXBP5
ZMAT1;STK10;RUNX1
GALNT11;RP11-160N1.10;NKTR
KLHL20;LRIG2;RPS6KB1
C17orf54;RTN4R;CELF5
FAM57A;CDC42BPA;MCTP2
LOC374491;DCX;STK38L
GIN1;MEF2D;KIAA1328
SLC35D2;S100PBP;TMEM220
PMPCB;HNRNPA3;ACTR1A
TYRO3;MIB1;C14orf143
NRG3;AKAP10;FAM73B
PDCD2L;OMG;C19orf62
RYK;LHFPL2;ZFAND5
TSPAN6;SDCCAG3;CCDC52
LOC126536;ZCCHC4;BRAP
FCRLB;SLC35A3;DTWD1
YWHAQ;PIK3CD;RARRES1
LOC100128682;CADM2;AP3S1
ZNF200;FAM133A;TRIM38
NEFL;ATF1;RBMX
ZNF148;WDR70;LYN
ASF1A;FAM179B;C1orf173
CNTN5;SLC38A2;PITPNM3
CCNY;PCNXL2;ZNF567
LRRC8D;RAB7A;MYBL2
SEC24C;GRM3;TMEM56
EED;CEACAM1;FAM115C
CBX1;HSPA4L;C9orf93
C15orf48;LYST;NT5E
TET3;YPEL5;RNF144B
MMGT1;DCBLD1;PRPF40A
SHMT1;LPHN3;LOC338651
STRN3;SNX10;CELF3
FKBP1A;RIMBP2;PDCD2L
PSIP1;MAP3K7;CCNY
LNX1;HOXA2;RANBP2
DSE;PTGER3;LPHN3
DAZ3;AVEN;NADK
SNORA11C;CAT;ITGB3
EBF3;ATF7IP2;PDE5A
C21orf105;FUCA1;ST6GAL2
NEK4;ELOVL6;PIGX
RANBP2;ILDR2;NCEH1
SLC45A2;SRP14;SFTPA1
SCRN3;SDAD1;ERMAP
RCN2;RIMKLB;ZBTB39
RARG;PANX1;CMAS
HNRNPM;GRK6;RRAGD
CDH6;STC1;FAM119B
SYP;PKNOX2;ZRANB2
