miranda;targetscan;ABCG1
a;a;a
VSIG2;GNRHR;ANK2
ZNF451;ATXN2;ANK3
GFOD2;MANEAL;ANKFY1
UMODL1;KIAA1429;ANKRD12
SCML1;BCL2L14;APPBP2
SNX20;FADS3;Arabidopsis
FGD2;VASH1;ARIH2
NEU4;SLIT2;ARNT
STYX;TFRC;ARRDC3
LRRC17;SRP14;ASXL1
ZNF595;ZNF367;BACH2
SLC7A2;MAP3K7;BAZ2B
HNRNPK;FLJ20373;BCL2L2
TLE3;JMJD8;BCL6
C20orf72;TRIM39;BDNF
YWHAZ;RP6-24A23.6;BICD2
SERTAD1;EIF3J;BTBD11
HOXB3;ITSN1;BTBD14B
NHP2L1;LIN7C;BTRC
SPG20;FZD2;CAMK2G
TFAP2A;HOXA1;CECR6
RNFT1;B4GALT5;CNNM4
LOC221122;PRR15L;CRK
CHP;PEA15;CSMD1
PRKAG2;SKIL;CTDSPL
ITGB2;PDE12;CTNNBIP1
MMAA;SLC38A2;DAZAP1
ANKRD1;BEND3;DKFZp761H039
G6PC;LANCL1;DLGAP2
TM4SF20;RBM27;Drosophila
MS4A10;FXR2;E2F3
SPAG9;CLASP2;EBF2
EIF2A;SNX12;ELAVL3
LRRFIP1;TBC1D22B;ELOVL6
PPP3R1;KLHDC10;EPHA4
ARNT;SON;ESRRG
ANKDD1A;ATF2;FHL3
BCKDK;TSPAN9;FLJ13576
TMEM132B;ALPL;FLJ20225
KCNK9;TPP2;FLJ36031
NPAS3;USP25;FLJ39441
PLAC8;ITPRIP;GALNT1
ABRA;CAMK2G;GATA6
PLP1;PAPOLA;GPR3
CD55;USP12;GRIN3A
EPHA5;POLR3H;GTF2H1
C3orf18;KCNH5;HAS3
BRIP1;RBMS3;HIVEP2
C16orf57;STARD13;HNRPK
SRGN;CCDC88A;HOXA1
GRAMD1B;EPHA4;HOXA3
UBAP1;STK35;HOXD10
GPCPD1;CEP350;HS6ST2
BDH1;SLC35G1;ID4
ZCCHC7;KIF13B;IGSF4
HOXD10;CELF6;IL1RAPL1
PTPN12;CNTNAP5;KIAA0261
NFIB;TRPC1;KIAA1434
PCDHB16;AKAP2;KL
MPI;CHD6;KLC2
GAB3;ATXN7;KLF13
NCRNA00171;PALM2-AKAP2;KLF4
FAM111A;PIAS1;LPHN1
SLC47A1;LUZP1;MAMDC1
DDX3X;HDAC4;MAPRE1
SSPN;KLHL15;MLR2
RAB2B;CTDSPL;MTMR3
WWC2;NONO;NCOA6
ABL1;SERPINE1;NCOR2
SLC25A33;ARNT;NFASC
BDNFOS;ELAVL3;NFAT5
C17orf69;KAT6B;NR5A2
ARHGAP12;TMEM260;NRP2
FBXO28;AFF4;PAFAH1B1
RFPL2;SLC25A1;POMT2
NET1;ZDHHC21;PUM2
FLJ10661;SESN3;PURB
Sep-03;IRS1;RAP2A
TSPAN31;ZNF202;RB1CC1
TTC23;AHSA2;RYBP
ZC3H12C;ZDHHC18;SCARB2
CIITA;CSMD1;SCN3A
ASB16;ZC2HC1C;SDC1
FAM179A;CREB1;SFRS1
MACROD2;KPNA5;SFRS10
BDNF;NR6A1;SHC1
FLJ40194;FIGN;SLC1A2
LOC284551;RORA;SLC38A2
ERAP2;PPARGC1B;SLC41A2
ARHGAP6;GATA6;SMAP1
TMEM206;EPHA8;SNX4
FNDC3B;BCL2L11;SON
CEP63;HCN1;TBDN100
MET;BDNF;TBX5
FCRL1;HOXA3;TFAP2C
C5orf45;KCTD16;TIEG2
AVPR1A;TMEM132B;TMOD1
DEDD;LHFPL4;TRIM2
WDR76;SOBP;TRIM39
PDSS2;RORB;USF2
RNF38;NCOR2;USP46
E2F5;GABRB2;XRN1
TXLNB;WNT9B;ZFP36L1
SPIN1;AGO3;ZMYND11
ERBB2IP;KLF11;
FAM196A;XRN1;
Sep-02;MAPKBP1;
C10orf79;ITGB8;
CNN1;TFAP2C;
COPS7B;CSRNP3;
TRMT2B;MDGA2;
ALCAM;ESRRG;
GOPC;PDE7A;
TMEM63C;HOXB3;
MAP2;DLGAP2;
CHL1;NR2C2;
PLA1A;MTF1;
SON;EBF2;
CAMK2B;LGALSL;
GPSM3;GRIN2B;
LOC728743;ONECUT1;
C11orf30;KLHL29;
PRR15L;RPRD1A;
XPNPEP3;RYBP;
FMNL2;SDC1;
GRIN3A;TBX5;
OR7D2;CYTH1;
RPL22L1;UBE2I;
MXRA7;PRRT3;
RASAL1;ZMYND11;
RPE;PIK3CA;
PLSCR4;CTNNBIP1;
DDA1;IL1RAPL1;
NEK6;PAPD5;
EPN3;USP46;
LOC100288346;CECR6;
SNHG3-RCC1;H3F3B;
ZNF43;SERTAD4;
POLR2B;ANKFY1;
MAGIX;HNRNPK;
DCTN4;ZFAND5;
ESRRG;GTF2H1;
STK19;FLRT2;
ACOT13;MTMR3;
DLG1;DOCK11;
DPAGT1;PTEN;
NR4A3;PDE4A;
MICB;EPHA5;
CCNB3;IFFO2;
INSIG2;BAZ2B;
PRLR;RNF180;
KLF11;BACH2;
POGZ;GOLGA3;
POU2AF1;FBXO30;
Sep-08;MYT1L;
DOK5;SRSF1;
GJD3;INO80D;
ZFYVE27;NFIX;
MDGA2;TENM2;
PPP1R14C;SPAG9;
LPAR1;AAK1;
SPATS2L;PALM2;
LRRC2;MYCBP;
CLEC7A;UNC5B;
SCARF1;ANK3;
ATF7;PURB;
ABCC3;C14orf28;
ZNF611;SLC35C2;
TRIM7;DVL3;
DOCK11;DAZAP1;
ZBTB3;DUSP3;
C1orf213;RNF165;
PDE4DIP;MTF2;
CNP;SH3D19;
ACOXL;CBX5;
SIX4;PTPN4;
RASSF6;ARIH2;
NUSAP1;CTD-2267D19.3;
NFS1;TMEM170B;
GSG1;HOMEZ;
SLCO1A2;GJA9;
NAT15;CLCN5;
ZNF445;ZNF827;
HLA-DPB1;CADM1;
CCDC146;CRLF3;
CCDC127;NPAS3;
RNF2;BCL6;
IGDCC4;BBX;
TRRAP;JARID2;
CLDND1;FRS2;
RAB6A;NUP50;
RUFY3;CRK;
TMPRSS13;FLT1;
CTBP2;SMAP1;
ERI3;PEX5L;
TATDN3;SHANK3;
TAB1;KPNB1;
SERTAD4;MBNL3;
LSM12;SCARB2;
NEDD4L;E2F7;
JKAMP;TRIM66;
PHIP;FOSL2;
GRM3;NFAT5;
ZNF502;LRRFIP1;
KDM4C;SLC6A5;
CSAG3;ANXA7;
CASP7;CASD1;
EGFR;MBD5;
C21orf7;TIAM1;
FCGR2A;NACC1;
C3orf63;MTSS1L;
ARMC8;TMEM168;
KCTD17;RASL10B;
LCORL;NEDD4;
ZNF273;WBP11;
MLLT10;GPCPD1;
USF2;ACTG1;
PDE4A;MCMBP;
ARMCX4;CNNM4;
SLC25A45;NR5A2;
C2orf61;MAP3K2;
MOBKL2A;IGSF1;
CELF2;ZNF608;
FOXRED2;ANKRD12;
ISL2;LRRC58;
SNORD56B;KLC2;
MED1;CPNE2;
ABCG1;BLZF1;
HP1BP3;BAZ1B;
SLC26A5;HOXD10;
UBA52;CHL1;
HTRA2;MIEF1;
OPN4;KLF7;
TMOD1;CADM2;
COQ7;FNBP1L;
PTPRO;GPR61;
PNLIPRP1;BTRC;
COX16;RHOBTB2;
LOC100128988;BCL2L2;
PHLPP2;RP11-766F14.2;
CALU;INHBB;
ARHGEF33;TFAP2A;
VTA1;CCDC177;
PEA15;ERGIC2;
SEC14L1;CNOT6;
HSD17B7P2;BICD2;
AICDA;KIAA1549;
CLCC1;LCOR;
EDN3;ZBTB43;
TMEM183A;TNRC6B;
ERICH1;SLC9A7;
NR2F2;WWC2;
C2orf3;LPHN1;
SPHKAP;FAM76A;
FLT1;ZNF280C;
CDC42SE2;FAM196A;
CASP2;SPTY2D1;
C9orf73;KCNA6;
LRP12;ARRDC3;
DSCAM;KCNC3;
TRPV3;UBXN7;
DMXL2;ERI3;
BCL2L11;NUFIP2;
ITCH;NT5DC1;
SFRS1;IGDCC4;
URGCP;TMEM167B;
USP25;ANK1;
ACSL6;GCLM;
CEP170;WAPAL;
LOC100192379;ATCAY;
GTDC1;PKN2;
M6PR;TMOD1;
SNORD7;CDC6;
FKBP9L;ELOVL2;
SMYD2;MAPRE1;
BCL6;RASAL2;
SH3D19;TET2;
KLC1;BMP2K;
PIGW;PCDH10;
ITGB8;CAMK2B;
UBE2I;POLR3D;
TRPC4AP;ELOVL6;
ITSN1;HAS3;
MYO1B;VWC2L;
ACTR10;PURG;
LOC728975;ZBTB16;
FAM21C;TRIM2;
ZMYND11;TMEM183A;
RCC1;GATA3;
FIBP;SEC22C;
UBE2L3;NCOA6;
ELF3;NR4A3;
CARD8;LRRC8B;
TGM4;WDR26;
IL12RB2;MED1;
C2orf18;CTDSPL2;
ZNF660;ARSJ;
RAP1A;;
STK16;;
TBCEL;;
DAZAP1;;
CLDN16;;
SUMF2;;
CELF6;;
GTF2H4;;
RPS18;;
PLGLB2;;
MTHFD2L;;
SAMD13;;
NRF1;;
SPIRE1;;
TOX4;;
GLS;;
EIF2B4;;
XK;;
CSRP2BP;;
ZNF704;;
LOC285778;;
MAGEC2;;
PAR-SN;;
TMEM188;;
NEDD4;;
CNTF;;
C12orf24;;
IL5RA;;
DSCR9;;
LTBP1;;
RNF112;;
TPP2;;
TUSC3;;
FAM133B;;
SOX1;;
MYCT1;;
RASSF1;;
ADAM9;;
LRIG1;;
PLA2G2F;;
CCDC40;;
ABI3;;
FLJ45244;;
SLAIN1;;
ZSCAN2;;
PDHB;;
RABL5;;
CBLB;;
ZNF800;;
DUSP5P;;
DIO2;;
DCBLD1;;
GOLGA3;;
ALKBH4;;
HIPK1;;
ZDHHC14;;
DRAM1;;
NONO;;
RNGTT;;
SIGLEC11;;
ORC5L;;
FAM48A;;
CYP2S1;;
GPR64;;
FPR3;;
ABCB9;;
FANCE;;
TSFM;;
LOC339524;;
GNRHR;;
LOC100132832;;
KLK7;;
EIF5A2;;
TINAGL1;;
RHOV;;
C8orf45;;
PPFIBP1;;
LYPD6;;
CALCOCO2;;
ZNF83;;
CRIPT;;
PTPN4;;
WDR5;;
AQPEP;;
CMPK1;;
OPRM1;;
UCHL5;;
ARID3B;;
CDC6;;
PRKCH;;
MRPL22;;
HNF4G;;
CTBS;;
TGFBR3;;
TENC1;;
BTBD11;;
ABHD3;;
ARHGAP42;;
HTATIP2;;
ZNF321;;
LOC153469;;
GCM1;;
CAMK2D;;
C4orf19;;
NQO1;;
NRBF2;;
RRN3;;
GDA;;
C15orf40;;
RFT1;;
BCR;;
NKX3-1;;
MYO10;;
ALS2CR8;;
MYST4;;
CCDC78;;
PLXNA2;;
CPEB4;;
C11orf57;;
ITM2B;;
PTPRK;;
PIK3C2G;;
RHD;;
ZDHHC7;;
ATPAF1;;
CD24;;
DOCK3;;
NKTR;;
DENND4A;;
MED14;;
KIAA1462;;
YME1L1;;
SARNP;;
SNX4;;
KCNS3;;
TMEM19;;
ACAD8;;
C9orf91;;
CSAG1;;
ZNF207;;
CYP2B7P1;;
BBX;;
TNFRSF19;;
CLDN11;;
ALDH7A1;;
GRAMD3;;
ANXA8L1;;
PLD6;;
DZIP1L;;
FNBP1L;;
SSX2IP;;
FUZ;;
UMPS;;
PDZD8;;
GAD1;;
C16orf48;;
PRUNE;;
NLGN4X;;
C1QTNF6;;
EMR2;;
RBBP9;;
NUPL2;;
PAICS;;
PLD3;;
PTGFR;;
HOXA1;;
RANBP6;;
EXOC5;;
FBXO11;;
LOC645752;;
TRAPPC10;;
ELL;;
POPDC2;;
MALL;;
AKNA;;
SHISA2;;
ANKRD28;;
ZNHIT6;;
SEL1L;;
ZFAND5;;
CALCR;;
GNE;;
MPP7;;
GRIK3;;
LIMK1;;
C14orf48;;
TRPM7;;
TIMM23;;
KBTBD6;;
PDE12;;
KIAA1377;;
INADL;;
SLC23A3;;
ATXN7;;
CCNE1;;
ZNF69;;
LOC286135;;
ZNF202;;
ZNF493;;
ADPGK;;
DAGLB;;
ATP5F1;;
KIAA0562;;
HMGCR;;
GABRB2;;
HSD3B7;;
ANK1;;
ABI3BP;;
MYT1L;;
CNOT6;;
LHFPL4;;
LYSMD3;;
CXCL3;;
DUS2L;;
SMAP1;;
RAB18;;
HERC6;;
LOC100132169;;
KLF4;;
MCM10;;
SIRT5;;
CNGA3;;
ZNF131;;
LOC284260;;
UNC5B;;
COPZ1;;
MTUS1;;
SLC4A4;;
FIP1L1;;
PLEKHA7;;
USP24;;
UBE2F;;
BAG5;;
ZNF154;;
ETF1;;
MORF4L2;;
LMO4;;
NAPEPLD;;
SMC5;;
ARL1;;
ZNF673;;
ZNF532;;
ZNF674;;
SHANK3;;
TMEM200A;;
MYO6;;
ANKRD13A;;
ANXA8;;
LATS1;;
SPOCK1;;
RRAS2;;
C10orf119;;
PHF20L1;;
CSMD1;;
ANKRD42;;
RPL13A;;
KCNJ6;;
PLXNB3;;
WBP4;;
GPR81;;
TET2;;
CSNK1G3;;
GALNT1;;
NCOR1;;
SCD5;;
SIGLEC6;;
TFRC;;
MTF2;;
FHAD1;;
NUDT4;;
FAM91A1;;
C20orf160;;
VASH2;;
ADRA1A;;
COG6;;
PPP1R1B;;
VPS13D;;
CSDE1;;
EIF3H;;
SLC14A1;;
FAM160B1;;
LMNA;;
STK17B;;
MIPOL1;;
LOC338739;;
FAM21A;;
RADIL;;
TSC22D2;;
CNNM4;;
BAT2L2;;
ERLIN1;;
MUS81;;
C10orf41;;
TSPAN33;;
SIN3A;;
NAA16;;
TRIM16L;;
BMPR1B;;
CNOT4;;
ODZ2;;
ZNF826;;
TAOK1;;
FLRT2;;
AWAT2;;
CYTH1;;
HOXA3;;
CXCR7;;
FAM120A;;
PMCHL1;;
ANXA13;;
GTF2H1;;
RNF186;;
NCRNA00052;;
NR5A2;;
GLIPR2;;
OPALIN;;
CCDC162;;
TASP1;;
LOC150776;;
SPATA5L1;;
GPR63;;
CNKSR1;;
ACCS;;
HSPA13;;
FBXO7;;
NPLOC4;;
FLJ46361;;
CASD1;;
PNP;;
MGAT4A;;
SEC23IP;;
LOC100132716;;
LOC100128340;;
SC4MOL;;
CSAG2;;
KIAA0907;;
FCF1;;
RG9MTD2;;
DBR1;;
UPK3BL;;
FKBP15;;
RAD51AP1;;
CPA6;;
YWHAQ;;
LOC100128682;;
LOC154761;;
PDGFB;;
HELZ;;
ANXA8L2;;
NMUR1;;
NUB1;;
ACD;;
AGL;;
NFX1;;
POLR2J2;;
TRIM2;;
TMPRSS3;;
KBTBD11;;
TMEM191C;;
C15orf56;;
YAP1;;
RPRD1A;;
CNTNAP3B;;
LETMD1;;
C15orf21;;
DNAL4;;
TJP2;;
GART;;
SLC25A16;;
UGDH;;
HECTD2;;
MOSC2;;
REXO1L2P;;
SATB2;;
LOC153684;;
ATP6V1C1;;
ZNF487;;
ACTBL2;;
GALE;;
MRPS18B;;
SGK1;;
RER1;;
SLC25A43;;
WSB1;;
MYO5B;;
HLA-E;;
UBXN7;;
ZNF528;;
FAM21B;;
SYF2;;
CASP8;;
ATG16L2;;
ZNF174;;
TSPYL2;;
VPS13C;;
ZMYND17;;
SLC5A5;;
CLEC18A;;
C1orf99;;
SLC25A4;;
THADA;;
DVL3;;
PRY;;
KIAA1211;;
AMICA1;;
CENPV;;
LOC728716;;
STAG3L1;;
POLR2D;;
OSMR;;
DDX60L;;
S1PR2;;
ARL13A;;
FTO;;
SLC5A9;;
MANEAL;;
ZNF189;;
EXD1;;
KLF5;;
METTL7A;;
TMPRSS12;;
MAPKBP1;;
ZNF507;;
FLJ42842;;
NCRNA00119;;
HMGCLL1;;
MBLAC2;;
AFG3L1;;
FHL3;;
TMEM161B;;
CXorf41;;
RFPL3;;
RPL15;;
DIO1;;
PPIP5K1;;
C15orf39;;
FAM119B;;
LRTOMT;;
UBXN2A;;
FAM166B;;
ZYG11B;;
GRINL1A;;
KCNN2;;
NFAT5;;
GGT6;;
KIRREL;;
OLAH;;
PRRG2;;
WIPF3;;
STX5;;
PHC3;;
HERC4;;
RGL1;;
TXNL1;;
MCM5;;
GON4L;;
NCOA6;;
DPYD;;
ZNF167;;
PROM2;;
SERF2;;
CAPRIN1;;
TRAPPC6B;;
GLB1L3;;
DOCK5;;
BCL11B;;
CDK1;;
MON2;;
ACADL;;
C14orf37;;
S1PR5;;
C19orf42;;
BACH2;;
STXBP4;;
EPAS1;;
HUS1;;
CLYBL;;
RPAIN;;
PTEN;;
ADAM12;;
IRAK4;;
FAM189B;;
DUT;;
ARPC1A;;
RAPGEF6;;
ABCC13;;
EPHA8;;
HLA-F;;
RAB37;;
UGT3A1;;
NFKBIZ;;
TMEM192;;
BUB1;;
PATL1;;
TMCC1;;
FHIT;;
USP31;;
RORA;;
C17orf71;;
ZMPSTE24;;
UFD1L;;
ZNF454;;
CLEC5A;;
C5orf20;;
TIPRL;;
PMS2L2;;
RPS6KA1;;
MARCKS;;
PTK7;;
C7orf51;;
ZDHHC17;;
SCP2;;
RPAP3;;
COX4NB;;
GEMIN8;;
NLE1;;
FLJ44054;;
GRIK1;;
ACAD11;;
HRH4;;
ASAP3;;
FER1L5;;
LBR;;
E2F7;;
IRF2;;
LOC100130894;;
GBP5;;
CMTM1;;
LHPP;;
SMURF1;;
PSTPIP2;;
HPRT1;;
PGAP1;;
MRPS18A;;
ARIH2;;
KCTD12;;
HNRNPA1;;
CPA4;;
MYBL1;;
LANCL1;;
ZNF705D;;
DKC1;;
SLC12A2;;
TRIB1;;
MARVELD2;;
TIAM1;;
MBP;;
LSS;;
STRN;;
PPP3CB;;
FLJ40330;;
ZDHHC23;;
KIAA0240;;
PIP4K2C;;
SENP7;;
ACRC;;
NCRNA00203;;
HTR4;;
MYCBP;;
PMPCA;;
BAZ2B;;
PRKACA;;
PIWIL3;;
JAK1;;
DDX11L10;;
DYNC1LI2;;
TLR4;;
COL16A1;;
CCNT2;;
FAM174B;;
FAM111B;;
EIF1AX;;
TPTE2P3;;
DSCR3;;
DAOA;;
C6orf141;;
VDR;;
POLD4;;
INTU;;
RB1CC1;;
GATA3;;
UNC5D;;
CYP4V2;;
TTC13;;
RNF20;;
PACRGL;;
AFF4;;
PGBD5;;
WDR20;;
RAD9B;;
FASTKD2;;
NIPBL;;
RHOBTB3;;
GALNT4;;
SFT2D3;;
ZNF833;;
GJA5;;
NPY6R;;
MAP3K1;;
GRM8;;
PAPD5;;
UBR7;;
SORCS1;;
CTSL2;;
HIATL1;;
